Wavelength (nm),Absorbance
2102,0.05958
2101,0.059683
2100,0.059471
2099,0.059361
2098,0.05942
2097,0.059408
2096,0.059421
2095,0.059214
2094,0.059208
2093,0.059394
2092,0.059318
2091,0.059119
2090,0.059003
2089,0.058985
2088,0.058951
2087,0.058963
2086,0.059099
2085,0.058954
2084,0.058691
2083,0.058759
2082,0.058815
2081,0.058922
2080,0.058789
2079,0.058684
2078,0.05868
2077,0.058807
2076,0.058651
2075,0.058628
2074,0.058452
2073,0.058545
2072,0.058424
2071,0.058381
2070,0.058174
2069,0.058464
2068,0.058357
2067,0.058361
2066,0.05832
2065,0.058337
2064,0.05839
2063,0.058119
2062,0.058065
2061,0.058276
2060,0.05814
2059,0.058111
2058,0.057972
2057,0.057801
2056,0.058122
2055,0.058004
2054,0.057903
2053,0.057924
2052,0.05803
2051,0.058016
2050,0.05789
2049,0.058033
2048,0.058036
2047,0.057957
2046,0.058036
2045,0.05796
2044,0.05755
2043,0.057793
2042,0.057678
2041,0.057846
2040,0.057728
2039,0.057697
2038,0.057594
2037,0.057673
2036,0.057719
2035,0.057826
2034,0.057527
2033,0.057749
2032,0.057571
2031,0.057654
2030,0.057505
2029,0.057727
2028,0.057674
2027,0.057593
2026,0.057254
2025,0.057301
2024,0.057481
2023,0.057406
2022,0.057398
2021,0.057558
2020,0.057376
2019,0.057344
2018,0.057434
2017,0.057317
2016,0.057442
2015,0.057248
2014,0.057439
2013,0.057349
2012,0.057377
2011,0.057431
2010,0.057456
2009,0.057123
2008,0.057363
2007,0.057246
2006,0.057232
2005,0.05727
2004,0.057273
2003,0.057275
2002,0.057222
2001,0.057431
2000,0.057397
1999,0.057346
1998,0.05733
1997,0.057337
1996,0.057176
1995,0.057358
1994,0.057124
1993,0.05731
1992,0.05701
1991,0.057225
1990,0.057136
1989,0.057244
1988,0.057162
1987,0.057146
1986,0.057124
1985,0.05703
1984,0.057139
1983,0.057041
1982,0.057072
1981,0.057218
1980,0.057047
1979,0.05702
1978,0.057039
1977,0.057029
1976,0.057094
1975,0.057164
1974,0.057061
1973,0.057083
1972,0.057062
1971,0.057071
1970,0.057307
1969,0.057171
1968,0.0571
1967,0.057312
1966,0.057162
1965,0.057151
1964,0.057356
1963,0.057168
1962,0.057162
1961,0.057137
1960,0.057252
1959,0.057028
1958,0.057172
1957,0.057239
1956,0.057412
1955,0.057261
1954,0.057366
1953,0.057778
1952,0.057492
1951,0.05758
1950,0.057407
1949,0.057567
1948,0.057428
1947,0.05744
1946,0.057141
1945,0.057233
1944,0.057053
1943,0.056851
1942,0.056888
1941,0.05687
1940,0.057089
1939,0.057185
1938,0.05726
1937,0.057255
1936,0.057402
1935,0.057619
1934,0.057925
1933,0.058405
1932,0.058768
1931,0.059019
1930,0.059339
1929,0.059816
1928,0.059725
1927,0.059182
1926,0.059108
1925,0.059041
1924,0.058986
1923,0.058961
1922,0.059287
1921,0.059384
1920,0.058992
1919,0.058962
1918,0.059038
1917,0.058975
1916,0.059105
1915,0.059102
1914,0.058642
1913,0.057553
1912,0.056386
1911,0.055782
1910,0.055505
1909,0.055436
1908,0.055608
1907,0.055395
1906,0.055241
1905,0.055572
1904,0.055527
1903,0.056404
1902,0.057522
1901,0.058331
1900,0.059028
1899,0.059309
1898,0.059579
1897,0.058957
1896,0.058616
1895,0.058694
1894,0.058431
1893,0.058451
1892,0.058149
1891,0.057948
1890,0.058047
1889,0.058236
1888,0.058524
1887,0.058272
1886,0.058269
1885,0.058462
1884,0.05831
1883,0.058155
1882,0.058195
1881,0.058187
1880,0.057955
1879,0.057604
1878,0.056847
1877,0.056309
1876,0.056185
1875,0.056054
1874,0.055916
1873,0.056062
1872,0.056183
1871,0.056082
1870,0.056785
1869,0.057352
1868,0.057049
1867,0.056895
1866,0.056967
1865,0.056779
1864,0.057311
1863,0.057014
1862,0.056186
1861,0.056029
1860,0.05583
1859,0.054881
1858,0.054283
1857,0.054382
1856,0.054464
1855,0.054567
1854,0.054767
1853,0.055226
1852,0.054954
1851,0.054661
1850,0.054369
1849,0.054332
1848,0.054086
1847,0.052984
1846,0.052151
1845,0.052937
1844,0.053953
1843,0.054715
1842,0.054747
1841,0.054323
1840,0.054587
1839,0.055107
1838,0.055632
1837,0.055314
1836,0.054443
1835,0.054662
1834,0.054019
1833,0.053662
1832,0.053327
1831,0.052679
1830,0.052141
1829,0.052041
1828,0.052835
1827,0.053261
1826,0.052737
1825,0.051683
1824,0.051402
1823,0.051538
1822,0.051819
1821,0.051276
1820,0.050806
1819,0.050752
1818,0.051112
1817,0.051906
1816,0.051857
1815,0.051958
1814,0.052122
1813,0.052547
1812,0.053036
1811,0.053293
1810,0.053188
1809,0.053912
1808,0.05374
1807,0.053778
1806,0.053815
1805,0.053897
1804,0.054731
1803,0.05446
1802,0.05433
1801,0.05455
1800,0.054589
1799,0.054383
1798,0.054406
1797,0.054112
1796,0.053908
1795,0.054002
1794,0.053689
1793,0.054014
1792,0.054016
1791,0.053622
1790,0.053886
1789,0.054153
1788,0.053584
1787,0.053535
1786,0.053868
1785,0.053722
1784,0.05359
1783,0.053851
1782,0.053423
1781,0.053386
1780,0.053461
1779,0.053394
1778,0.053332
1777,0.053421
1776,0.053604
1775,0.053337
1774,0.053535
1773,0.053264
1772,0.053285
1771,0.053202
1770,0.053147
1769,0.053288
1768,0.053205
1767,0.053033
1766,0.053113
1765,0.053146
1764,0.053021
1763,0.053044
1762,0.053101
1761,0.053037
1760,0.053009
1759,0.053038
1758,0.05288
1757,0.052901
1756,0.052981
1755,0.052882
1754,0.052725
1753,0.052665
1752,0.052724
1751,0.052773
1750,0.052805
1749,0.052664
1748,0.052503
1747,0.052294
1746,0.052556
1745,0.052654
1744,0.052256
1743,0.052452
1742,0.052528
1741,0.05225
1740,0.052455
1739,0.052396
1738,0.052409
1737,0.05235
1736,0.052385
1735,0.052504
1734,0.052189
1733,0.05219
1732,0.05223
1731,0.052065
1730,0.052266
1729,0.052251
1728,0.052057
1727,0.051884
1726,0.052192
1725,0.05212
1724,0.051869
1723,0.052031
1722,0.052083
1721,0.051825
1720,0.051812
1719,0.052025
1718,0.051758
1717,0.051577
1716,0.051702
1715,0.051664
1714,0.051546
1713,0.051703
1712,0.051899
1711,0.051581
1710,0.051477
1709,0.051586
1708,0.051662
1707,0.051518
1706,0.051426
1705,0.051436
1704,0.051366
1703,0.051195
1702,0.05121
1701,0.051425
1700,0.051269
1699,0.051129
1698,0.05114
1697,0.051158
1696,0.051085
1695,0.051016
1694,0.051027
1693,0.051018
1692,0.050932
1691,0.050895
1690,0.051056
1689,0.050997
1688,0.050893
1687,0.050677
1686,0.050939
1685,0.050845
1684,0.050713
1683,0.050654
1682,0.05081
1681,0.050658
1680,0.05055
1679,0.050546
1678,0.050538
1677,0.050481
1676,0.050474
1675,0.050367
1674,0.050454
1673,0.050449
1672,0.050306
1671,0.050194
1670,0.050174
1669,0.050146
1668,0.049938
1667,0.049858
1666,0.049903
1665,0.04988
1664,0.049781
1663,0.049729
1662,0.049707
1661,0.04982
1660,0.049847
1659,0.049647
1658,0.049518
1657,0.049477
1656,0.049491
1655,0.049664
1654,0.049697
1653,0.04946
1652,0.0494
1651,0.049389
1650,0.049251
1649,0.049121
1648,0.049117
1647,0.049148
1646,0.049229
1645,0.049195
1644,0.049065
1643,0.049107
1642,0.04905
1641,0.048888
1640,0.048801
1639,0.0488
1638,0.048803
1637,0.048703
1636,0.048709
1635,0.048687
1634,0.048635
1633,0.048667
1632,0.048499
1631,0.048336
1630,0.048452
1629,0.048384
1628,0.048277
1627,0.048247
1626,0.04817
1625,0.04803
1624,0.047983
1623,0.048059
1622,0.048108
1621,0.047964
1620,0.047719
1619,0.047642
1618,0.047784
1617,0.047794
1616,0.047618
1615,0.047533
1614,0.047437
1613,0.047496
1612,0.047611
1611,0.047424
1610,0.047267
1609,0.047211
1608,0.047208
1607,0.047315
1606,0.047188
1605,0.046916
1604,0.046861
1603,0.047016
1602,0.047001
1601,0.047094
1600,0.046899
1599,0.046729
1598,0.046711
1597,0.046704
1596,0.046591
1595,0.046546
1594,0.046441
1593,0.046191
1592,0.046231
1591,0.046243
1590,0.046342
1589,0.046333
1588,0.046071
1587,0.045805
1586,0.045684
1585,0.045952
1584,0.045939
1583,0.04591
1582,0.045855
1581,0.045598
1580,0.045594
1579,0.04539
1578,0.045379
1577,0.045408
1576,0.045373
1575,0.045438
1574,0.045104
1573,0.044864
1572,0.044814
1571,0.044889
1570,0.04498
1569,0.045076
1568,0.044703
1567,0.044649
1566,0.044456
1565,0.044357
1564,0.044447
1563,0.044696
1562,0.044443
1561,0.044325
1560,0.044089
1559,0.043941
1558,0.04394
1557,0.043766
1556,0.043754
1555,0.044003
1554,0.04365
1553,0.043551
1552,0.043348
1551,0.043282
1550,0.043201
